Coordinates,Pair,Species,Genus,Family,Strategy,Plant,Sample,Original mass,Dry mass,Volume,Density,Moisture ,Ignition_Time,Obs_Burn_Time,Burn_Time,Completion,Completion_binary,Dry mass reading,Tape Mass,Comments
"35°32'29.2""S 150°23'06.0""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,4,1,0.17,0.05,0.18,0.277777778,0.12,0,36,36,incomplete,0,0.1,0.05,
"35°32'29.2""S 150°23'06.0""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,4,2,0.18,0.05,0.19,0.263157895,0.13,0.6,30,29.4,incomplete,0,0.1,0.05,
"35°32'29.2""S 150°23'06.0""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,4,3,0.11,0.07,0.09,0.777777778,0.04,1.04,23,21.96,incomplete,0,0.11,0.04,
"35°32'29.2""S 150°23'06.0""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,4,4,0.28,0.09,0.25,0.36,0.19,0.63,19,18.37,incomplete,0,0.15,0.06,recaught but ignored
"35°32'29.2""S 150°23'06.0""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,4,5,0.29,0.08,0.29,0.275862069,0.21,0,47,47,incomplete,0,0.14,0.06,
"35°32'37.3""S 150°21'50.8""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,5,1,0.24,0.04,0.26,0.153846154,0.2,1.8,14,12.2,incomplete,0,0.09,0.05,
"35°32'37.3""S 150°21'50.8""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,5,2,0.14,0.06,0.13,0.461538462,0.08,0,71,71,incomplete,0,0.12,0.06,
"35°32'37.3""S 150°21'50.8""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,5,3,0.41,0.14,0.45,0.311111111,0.27,2,101,99,incomplete,0,0.18,0.04,
"35°32'37.3""S 150°21'50.8""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,5,4,0.06,0.05,0.12,0.416666667,0.01,1,38,37,incomplete,0,0.1,0.05,
"35°32'37.3""S 150°21'50.8""E",6,Hibbertia_dentata,Hibbertia,Dilleniaceae,Resprouter,5,5,0.37,0.12,0.3,0.4,0.25,0,92,92,incomplete,0,0.17,0.05,
"35°32'42.3""S 150°22'38.1""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,1,1,0.27,0.14,0.32,0.4375,0.13,0.36,35,34.64,incomplete,0,0.21,0.07,
"35°32'42.3""S 150°22'38.1""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,1,2,0.43,0.21,0.4,0.525,0.22,2.87,109,106.13,incomplete,0,0.28,0.07,
"35°32'42.3""S 150°22'38.1""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,1,3,0.54,0.27,0.48,0.5625,0.27,1.04,19.82,18.78,incomplete,0,0.34,0.07,
"35°32'42.3""S 150°22'38.1""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,1,4,0.7,0.35,0.62,0.564516129,0.35,1.8,81.17,79.37,incomplete,0,0.41,0.06,
"35°32'42.3""S 150°22'38.1""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,1,5,0.51,0.27,0.46,0.586956522,0.24,1.23,118.47,117.24,incomplete,0,0.34,0.07,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,2,1,0.2,0.1,0.18,0.555555556,0.1,0.71,48.95,48.24,incomplete,0,0.15,0.05,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,2,2,0.23,0.1,0.18,0.555555556,0.13,0.85,140.3,139.45,incomplete,0,0.16,0.06,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,2,3,0.3,0.16,0.27,0.592592593,0.14,0.88,129.62,128.74,incomplete,0,0.21,0.05,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,3,1,0.22,0.1,0.22,0.454545455,0.12,1.83,60,58.17,incomplete,0,0.16,0.06,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,3,4,0.36,0.16,0.31,0.516129032,0.2,0.7,60,59.3,incomplete,0,0.24,0.08,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,3,5,0.35,0.17,0.32,0.53125,0.18,0.63,43.05,42.42,incomplete,0,0.25,0.08,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,4,1,0.38,0.17,0.36,0.472222222,0.21,0.98,67.02,66.04,incomplete,0,0.25,0.08,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,4,2,0.38,0.2,0.36,0.555555556,0.18,0,101.28,101.28,incomplete,0,0.26,0.06,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,4,4,0.38,0.2,0.38,0.526315789,0.18,0,56.21,56.21,incomplete,0,0.28,0.08,
"35°32'42.2""S 150°22'38.0""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,4,5,0.33,0.17,0.32,0.53125,0.16,0.82,66.64,65.82,incomplete,0,0.25,0.08,
"35°32'42.3""S 150°22'38.3""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,5,1,0.37,0.2,0.34,0.588235294,0.17,0,137.98,137.98,incomplete,0,0.26,0.06,
"35°32'42.3""S 150°22'38.3""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,5,3,0.22,0.1,0.2,0.5,0.12,0.57,97.53,96.96,incomplete,0,0.16,0.06,
"35°32'42.3""S 150°22'38.3""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,5,4,0.28,0.16,0.24,0.666666667,0.12,3,53.81,50.81,incomplete,0,0.21,0.05,
"35°32'42.3""S 150°22'38.3""E",6,Hibbertia_obtusifolia,Hibbertia,Dilleniaceae,Seeder,5,5,0.4,0.38,0.47,0.808510638,0.02,0,82,82,incomplete,0,0.45,0.07,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,1,1,0.17,0.06,0.15,0.4,0.11,0,35,35,incomplete,0,0.14,0.08,
"35°32'32.5""S 150°23'05.6""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,2,1,0.09,0.03,0.07,0.428571429,0.06,0,34,34,incomplete,0,0.1,0.07,
"35°32'27.8""S 150°23'06.3""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,3,1,0.08,0.03,0.06,0.5,0.05,1.87,19,17.13,incomplete,0,0.11,0.08,
"35°32'27.8""S 150°23'06.3""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,3,4,0.09,0.05,0.07,0.714285714,0.04,0,17,17,incomplete,0,0.15,0.1,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,4,1,0.08,0.02,0.06,0.333333333,0.06,0,10,10,incomplete,0,0.12,0.1,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,5,1,0.1,0.05,0.06,0.833333333,0.05,0,38,38,incomplete,0,0.13,0.08,
"35°32'29.2""S 150°23'06.0""E",5,Kunzea_ambigua,Kunzea,Myrtaceae,Seeder,5,4,0.08,0.03,0.06,0.5,0.05,17.59,43,25.41,incomplete,0,0.11,0.08,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,1,1,0.16,0.07,0.13,0.538461538,0.09,0,45,45,incomplete,0,0.13,0.06,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,1,3,0.16,0.09,0.13,0.692307692,0.07,0.5,132,131.5,incomplete,0,0.14,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,1,4,0.17,0.11,0.11,1,0.06,0,34,34,incomplete,0,0.15,0.04,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,1,5,0.16,0.1,0.15,0.666666667,0.06,0.63,137,136.37,incomplete,0,0.15,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,3,1,0.12,0.08,0.12,0.666666667,0.04,0.2,43,42.8,incomplete,0,0.11,0.03,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,3,4,0.15,0.09,0.12,0.75,0.06,0.34,104,103.66,incomplete,0,0.13,0.04,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,3,5,0.19,0.12,0.16,0.75,0.07,1.1,34,32.9,incomplete,0,0.16,0.04,
"35°32'28.7""S 150°23'06.1""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,4,3,0.16,0.07,0.17,0.411764706,0.09,0.4,80,79.6,incomplete,0,0.12,0.05,
"35°32'28.7""S 150°23'06.1""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,4,4,0.31,0.17,0.28,0.607142857,0.14,0,81,81,incomplete,0,0.2,0.03,
"35°32'28.7""S 150°23'06.1""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,4,5,0.28,0.16,0.25,0.64,0.12,1.79,99,97.21,incomplete,0,0.21,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,5,2,0.17,0.08,0.15,0.533333333,0.09,0.67,141,140.33,incomplete,0,0.13,0.05,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,5,3,0.17,0.11,0.18,0.611111111,0.06,0.6,132,131.4,incomplete,0,0.17,0.06,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,5,4,0.12,0.1,0.07,1.428571429,0.02,0.3,142,141.7,incomplete,0,0.14,0.04,
"35°32'28.9""S 150°23'07.0""E",5,Leptospermum_polygalifolium,Leptospermum,Myrtaceae,Resprouter,5,5,0.25,0.14,0.2,0.7,0.11,0.79,126,125.21,incomplete,0,0.18,0.04,
"35°32'45.2""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,1,1,0.42,0.23,0.39,0.58974359,0.19,2.61,147,144.39,incomplete,0,0.28,0.05,
"35°32'45.2""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,1,2,0.37,0.2,0.34,0.588235294,0.17,8.78,68,59.22,incomplete,0,0.26,0.06,
"35°32'45.2""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,1,3,0.37,0.17,0.28,0.607142857,0.2,1.01,73,71.99,incomplete,0,0.2,0.03,
"35°32'45.7""S 150°22'20.1""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,2,2,0.41,0.24,0.38,0.631578947,0.17,0,56,56,incomplete,0,0.33,0.09,
"35°32'45.7""S 150°22'20.1""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,2,3,0.53,0.15,0.51,0.294117647,0.38,3.77,297,293.23,incomplete,0,0.2,0.05,
"35°32'45.7""S 150°22'20.1""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,2,4,0.41,0.27,0.35,0.771428571,0.14,1.74,108,106.26,incomplete,0,0.34,0.07,
"35°32'45.7""S 150°22'20.1""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,2,5,0.32,0.2,0.27,0.740740741,0.12,1,184,183,incomplete,0,0.26,0.06,
"35°32'45.3""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,3,1,0.41,0.23,0.33,0.696969697,0.18,2,25,23,incomplete,0,0.28,0.05,
"35°32'45.3""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,3,2,0.34,0.17,0.26,0.653846154,0.17,3.42,192,188.58,incomplete,0,0.22,0.05,
"35°32'45.3""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,3,3,0.36,0.18,0.31,0.580645161,0.18,3.13,173,169.87,incomplete,0,0.23,0.05,
"35°32'45.3""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,3,4,0.39,0.2,0.33,0.606060606,0.19,2.29,176,173.71,incomplete,0,0.25,0.05,
"35°32'45.3""S 150°23'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,3,5,0.33,0.23,0.24,0.958333333,0.1,1.57,122,120.43,incomplete,0,0.26,0.03,
"35°32'45.1""S 150°22'20.3""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,4,3,0.2,0.12,0.2,0.6,0.08,0.95,63,62.05,incomplete,0,0.18,0.06,
"35°32'45.1""S 150°22'20.3""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,4,4,0.36,0.23,0.33,0.696969697,0.13,1.99,113,111.01,incomplete,0,0.29,0.06,
"35°32'45.1""S 150°22'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,5,2,0.58,0.36,0.56,0.642857143,0.22,1.23,124,122.77,incomplete,0,0.41,0.05,
"35°32'45.1""S 150°22'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,5,3,0.42,0.27,0.36,0.75,0.15,1.35,150,148.65,incomplete,0,0.32,0.05,
"35°32'45.1""S 150°22'20.2""E",2,Leucopogon_juniperinus,Leucopogon,Ericaceae,Seeder,5,5,0.28,0.18,0.25,0.72,0.1,1.23,200,198.77,incomplete,0,0.22,0.04,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,1,2,0.34,0.18,0.3,0.6,0.16,4.8,240,235.2,incomplete,0,0.19,0.01,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,1,3,0.31,0.18,0.29,0.620689655,0.13,2.3,109,106.7,incomplete,0,0.2,0.02,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,1,4,0.41,0.24,0.37,0.648648649,0.17,9.1,185,175.9,incomplete,0,0.26,0.02,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,1,5,0.59,0.33,0.55,0.6,0.26,2.22,153,150.78,incomplete,0,0.34,0.01,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,2,1,0.62,0.36,0.5,0.72,0.26,1,300,299,incomplete,0,0.37,0.01,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,2,2,0.36,0.21,0.31,0.677419355,0.15,11.81,321,309.19,incomplete,0,0.23,0.02,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,2,3,0.44,0.25,0.38,0.657894737,0.19,2.3,240,237.7,incomplete,0,0.27,0.02,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,2,4,0.56,0.31,0.5,0.62,0.25,2.81,785,782.19,incomplete,0,0.33,0.02,
"35°32'39.3""S 150°23'06.1""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,2,5,0.51,0.3,0.47,0.638297872,0.21,13.75,284,270.25,incomplete,0,0.32,0.02,
"35°32'39.6""S 150°23'06.7""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,3,1,0.67,0.38,0.55,0.690909091,0.29,1.56,111,109.44,incomplete,0,0.41,0.03,
"35°32'39.6""S 150°23'06.7""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,3,2,0.62,0.35,0.48,0.729166667,0.27,64.07,143,78.93,incomplete,0,0.37,0.02,
"35°32'39.6""S 150°23'06.7""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,3,3,0.48,0.42,0.39,1.076923077,0.06,3.35,60,56.65,incomplete,0,0.43,0.01,
"35°32'39.6""S 150°23'06.7""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,3,4,0.76,0.27,0.62,0.435483871,0.49,7.28,196,188.72,incomplete,0,0.29,0.02,
"35°32'39.6""S 150°23'06.7""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,3,5,1.64,0.91,1.44,0.631944444,0.73,2.42,232,229.58,incomplete,0,0.95,0.04,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,4,1,0.73,0.39,0.64,0.609375,0.34,4.83,190,185.17,incomplete,0,0.4,0.01,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,4,2,0.37,0.22,0.31,0.709677419,0.15,1.79,156,154.21,incomplete,0,0.23,0.01,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,4,3,0.41,0.23,0.35,0.657142857,0.18,17.15,96,78.85,incomplete,0,0.27,0.04,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,4,4,0.71,0.4,0.56,0.714285714,0.31,4.16,191,186.84,incomplete,0,0.42,0.02,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,4,5,0.71,0.42,0.62,0.677419355,0.29,27.42,282,254.58,incomplete,0,0.44,0.02,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,5,1,0.9,0.5,0.78,0.641025641,0.4,2.38,279,276.62,incomplete,0,0.59,0.09,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,5,2,0.5,0.26,0.39,0.666666667,0.24,1.89,64,62.11,incomplete,0,0.33,0.07,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,5,3,0.4,0.24,0.34,0.705882353,0.16,7.61,206,198.39,incomplete,0,0.3,0.06,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,5,4,0.96,0.54,0.84,0.642857143,0.42,2.27,178,175.73,incomplete,0,0.64,0.1,
"35°32'39.4""S 150°23'06.2""E",2,Leucopogon_parvifloris,Leucopogon,Ericaceae,Resprouter,5,5,0.49,0.27,0.42,0.642857143,0.22,2.55,171,168.45,incomplete,0,0.38,0.11,
"35°32'37.7""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,1,1,0.15,0.05,0.12,0.416666667,0.1,2.55,38,35.45,incomplete,0,0.09,0.04,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,2,3,0.09,0.05,0.07,0.714285714,0.04,0,33,33,incomplete,0,0.08,0.03,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,2,5,0.1,0.05,0.07,0.714285714,0.05,2.41,75,72.59,incomplete,0,0.09,0.04,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,3,2,0.07,0.03,0.06,0.5,0.04,1.23,10,8.77,incomplete,0,0.05,0.02,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,3,3,0.14,0.07,0.11,0.636363636,0.07,1.56,124,122.44,incomplete,0,0.09,0.02,
"35°32'37.6""S 150°23'03.8""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,3,4,0.19,0.1,0.17,0.588235294,0.09,1.45,86,84.55,incomplete,0,0.13,0.03,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,4,1,0.18,0.1,0.16,0.625,0.08,1.76,80,78.24,incomplete,0,0.12,0.02,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,4,4,0.54,0.31,0.49,0.632653061,0.23,2.61,135,132.39,incomplete,0,0.33,0.02,
"35°32'36.1""S 150°23'04.7""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,5,1,0.16,0.05,0.11,0.454545455,0.11,1.06,46,44.94,incomplete,0,0.09,0.04,
"35°32'36.1""S 150°23'04.7""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,5,2,0.12,0.05,0.12,0.416666667,0.07,2.79,21,18.21,incomplete,0,0.08,0.03,
"35°32'36.1""S 150°23'04.7""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,5,3,0.1,0.03,0.07,0.428571429,0.07,0,38,38,incomplete,0,0.05,0.02,
"35°32'36.1""S 150°23'04.7""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,5,4,0.13,0.07,0.13,0.538461538,0.06,0,23,23,incomplete,0,0.1,0.03,
"35°32'36.1""S 150°23'04.7""E",1,Melaleuca_ericifolia,Melaleuca,Myrtaceae,Resprouter,5,5,0.13,0.06,0.12,0.5,0.07,1.63,108,106.37,incomplete,0,0.08,0.02,
"35°32'37.8""S 150°23'03.6""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,1,1,0.25,0.13,0.25,0.52,0.12,0,192,192,incomplete,0,0.15,0.02,
"35°32'37.8""S 150°23'03.6""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,1,2,0.15,0.08,0.12,0.666666667,0.07,0,58,58,incomplete,0,0.1,0.02,
"35°32'37.8""S 150°23'03.6""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,1,3,0.2,0.09,0.17,0.529411765,0.11,1.34,133,131.66,incomplete,0,0.11,0.02,
"35°32'37.8""S 150°23'03.6""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,1,4,0.15,0.06,0.13,0.461538462,0.09,3.2,149,145.8,incomplete,0,0.08,0.02,
"35°32'37.8""S 150°23'03.6""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,1,5,0.23,0.11,0.2,0.55,0.12,2.45,110,107.55,incomplete,0,0.13,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,2,1,0.17,0.09,0.17,0.529411765,0.08,0,69,69,incomplete,0,0.11,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,2,2,0.25,0.12,0.22,0.545454545,0.13,0,136,136,incomplete,0,0.14,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,2,3,0.14,0.08,0.13,0.615384615,0.06,1.6,54,52.4,incomplete,0,0.1,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,2,5,0.23,0.11,0.2,0.55,0.12,0,88,88,incomplete,0,0.13,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,3,2,0.27,0.13,0.25,0.52,0.14,1.19,195,193.81,incomplete,0,0.15,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,3,3,0.45,0.19,0.38,0.5,0.26,0,164,164,incomplete,0,0.21,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,3,4,0.21,0.1,0.18,0.555555556,0.11,0,135,135,incomplete,0,0.12,0.02,
"35°32'37.2""S 150°23'04.1""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,3,5,0.18,0.12,0.23,0.52173913,0.06,3.77,50,46.23,incomplete,0,0.14,0.02,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,4,1,0.18,0.06,0.18,0.333333333,0.12,2.03,52,49.97,incomplete,0,0.12,0.06,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,4,2,0.12,0.07,0.1,0.7,0.05,1.56,58,56.44,incomplete,0,0.09,0.02,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,4,3,0.13,0.06,0.13,0.461538462,0.07,0.6,54,53.4,incomplete,0,0.08,0.02,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,4,4,0.25,0.12,0.22,0.545454545,0.13,1.5,129,127.5,incomplete,0,0.14,0.02,
"35°32'36.5""S 150°23'04.4""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,4,5,0.22,0.1,0.2,0.5,0.12,4.12,178,173.88,incomplete,0,0.15,0.05,
"35°32'36.5""S 150°23'04.7""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,5,1,0.22,0.1,0.19,0.526315789,0.12,0,252,252,incomplete,0,0.13,0.03,
"35°32'36.5""S 150°23'04.7""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,5,2,0.3,0.12,0.28,0.428571429,0.18,1.32,83,81.68,incomplete,0,0.17,0.05,
"35°32'36.5""S 150°23'04.7""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,5,3,0.23,0.11,0.21,0.523809524,0.12,1.83,196,194.17,incomplete,0,0.16,0.05,
"35°32'36.5""S 150°23'04.7""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,5,4,0.31,0.14,0.27,0.518518519,0.17,0,102,102,incomplete,0,0.17,0.03,
"35°32'36.5""S 150°23'04.7""E",1,Melaleuca_hypericifolia,Melaleuca,Myrtaceae,Seeder,5,5,0.29,0.11,0.25,0.44,0.18,0,98,98,incomplete,0,0.16,0.05,
"35°32'44.3""S 150°22'07.6""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,1,2,0.58,0.25,0.54,0.462962963,0.33,8.6,79,70.4,incomplete,0,0.31,0.06,
"35°32'44.3""S 150°22'07.6""E",3,Persoonia_linearis,Persoonia,Proteaceae,Resprouter,1,3,0.45,0.19,0.41,0.463414634,0.26,28,178,150,incomplete,0,0.27,0.08,
